Name,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws,NoContests
Melsik Baghdasaryan,69.0,145.0,70.0,Southpaw,696556800.0,5.28,61.0,3.06,58.0,0.0,0.0,72.0,0.0,8,2,0,0
Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,451008000.0,2.91,40.0,3.23,49.0,1.32,61.0,62.0,0.3,24,8,1,0
Ignacio Bahamondes,75.0,155.0,75.0,Orthodox,872640000.0,7.17,47.0,4.41,57.0,0.0,0.0,85.0,0.3,16,5,0,0
Shamar Bailey,69.0,155.0,75.0,Southpaw,401500800.0,1.56,20.0,3.91,69.0,1.5,33.0,37.0,0.0,16,11,0,0
Oluwale Bamgbose,71.0,185.0,78.0,Switch,555033600.0,2.45,48.0,2.7,55.0,0.94,33.0,37.0,0.0,6,4,0,0
Marcin Bandel,70.0,155.0,,Orthodox,623980800.0,0.79,50.0,5.26,23.0,0.0,0.0,0.0,0.0,15,7,0,0
Humberto Bandenay,71.0,145.0,71.0,Southpaw,778636800.0,2.22,41.0,4.79,41.0,2.9,46.0,62.0,0.5,14,7,0,1
Tae Hyun Bang,69.0,155.0,71.0,Switch,419212800.0,2.72,38.0,2.07,66.0,0.49,33.0,57.0,0.5,18,10,0,0
Shauna Bannon,65.0,115.0,65.0,Switch,751334400.0,4.37,41.0,3.77,42.0,0.0,0.0,42.0,0.0,6,1,0,0
Antonio Banuelos,65.0,135.0,63.0,Orthodox,306892800.0,2.69,33.0,3.15,58.0,1.62,62.0,86.0,0.4,20,11,1,0
Renan Barao,66.0,145.0,70.0,Orthodox,539049600.0,3.78,36.0,3.9,57.0,1.49,41.0,91.0,0.5,34,9,0,1
Maycee Barber,65.0,125.0,65.0,Switch,895449600.0,4.7,53.0,2.9,54.0,1.44,43.0,53.0,0.1,14,2,0,0
Bryan Barberena,72.0,185.0,72.0,Southpaw,610156800.0,5.35,48.0,4.59,44.0,0.13,22.0,50.0,0.3,18,12,0,0
Dione Barbosa,66.0,125.0,66.0,Orthodox,705283200.0,1.85,48.0,2.49,66.0,1.73,28.0,42.0,2.2,7,3,0,0
Edson Barboza,71.0,145.0,75.0,Orthodox,506649600.0,4.11,44.0,4.65,56.0,0.45,50.0,72.0,0.1,24,12,0,0
Raoni Barcelos,67.0,135.0,67.0,Orthodox,546825600.0,5.11,53.0,4.64,60.0,2.46,37.0,82.0,0.7,19,5,0,0
Daniel Barez,66.0,125.0,66.0,Orthodox,597715200.0,4.1,52.0,5.05,57.0,2.24,31.0,92.0,0.9,17,6,0,0
Danny Barlow,74.0,170.0,79.0,Southpaw,807321600.0,5.72,50.0,3.48,52.0,0.0,0.0,100.0,0.0,9,0,0,0
Luke Barnatt,78.0,185.0,77.0,Orthodox,576892800.0,4.43,36.0,3.87,59.0,0.63,42.0,63.0,0.4,13,4,0,0
Josh Barnett,75.0,250.0,78.0,Orthodox,247968000.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,35,8,0,0
Chris Barnett,69.0,265.0,75.0,Orthodox,519091200.0,4.21,47.0,6.53,39.0,0.0,0.0,33.0,0.0,23,9,0,0
David Baron,66.0,155.0,,Switch,98582400.0,1.17,30.0,2.1,56.0,0.0,0.0,14.0,0.7,17,4,1,0
